stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3707,3707,Elysian St @ Frawley,ELYSIAN ST & FRAWLEY,29.801668,-95.351336,,,,,,0
3708,3708,Elysian St @ Cavalcade St,ELYSIAN ST & CAVALCADE ST,29.803838,-95.351396,,,,,,0
3709,3709,Elysian St @ Gaines St,ELYSIAN ST & GAINES ST,29.805065,-95.35144,,,,,,0
3710,3710,Elysian St @ Hamblen St,ELYSIAN ST & HAMBLEN ST,29.806766,-95.351486,,,,,,0
3711,3711,Elysian St @ Griffin St,ELYSIAN ST & GRIFFIN ST,29.808451,-95.351532,,,,,,0
3712,3712,Elysian St @ Fairbanks St,ELYSIAN ST & FAIRBANKS ST,29.810182,-95.351573,,,,,,0
3713,3713,Elysian St @ Euel,ELYSIAN ST & EUEL,29.811889,-95.351613,,,,,,0
3714,3714,Jensen Dr @ Milwaukee St,JENSEN DR & MILWAUKEE ST,29.809163,-95.342448,,,,,,0
3715,3715,Jensen Dr @ Ivy St,JENSEN DR & IVY ST,29.807276,-95.342411,,,,,,0
3716,3716,Jensen Dr @ Le Badie,JENSEN DR & LE BADIE,29.804756,-95.342404,,,,,,0
3717,3717,Jensen Dr @ Cavalcade St,JENSEN DR & CAVALCADE ST,29.802363,-95.342301,,,,,,0
3718,3718,Jensen Dr @ Bay St,JENSEN DR & BAY ST,29.800412,-95.342283,,,,,,0
3719,3719,Jensen Dr @ Crane St,JENSEN DR & CRANE ST,29.796641,-95.342234,,,,,,0
3720,3720,Jensen Dr @ Collingsworth St,JENSEN DR & COLLINGSWORTH ST,29.79402,-95.34216,,,,,,0
3721,3721,Jensen Dr @ Evella,JENSEN DR & EVELLA,29.791468,-95.34211,,,,,,0
3722,3722,Jensen Dr @ Jewel St,JENSEN DR & JEWEL ST,29.790049,-95.342079,,,,,,0
3723,3723,Jensen Dr @ Florida,JENSEN DR & FLORIDA,29.787732,-95.342046,,,,,,0
3724,3724,Jensen Dr @ Newhoff St,JENSEN DR & NEWHOFF ST,29.785773,-95.34203,,,,,,0
3725,3725,Jensen Dr @ Quitman St,JENSEN DR & QUITMAN ST,29.783862,-95.341982,,,,,,0
3726,3726,Jensen Dr @ Campbell St,JENSEN DR & CAMPBELL ST,29.782724,-95.34196,,,,,,0
3727,3727,Jensen Dr @ Lee St,JENSEN DR & LEE ST,29.781826,-95.341951,,,,,,0
3728,3728,Jensen Dr @ Sumpter,JENSEN DR & SUMPTER,29.779702,-95.34193,,,,,,0
3729,3729,Jensen Dr @ Lorraine St,JENSEN DR & LORRAINE ST,29.778689,-95.341911,,,,,,0
3730,3730,Jensen Dr @ Mills St,JENSEN DR & MILLS ST,29.777675,-95.341921,,,,,,0
3731,3731,Jensen Dr @ Brooks St,JENSEN DR & BROOKS ST,29.775455,-95.341879,,,,,,0
3732,3732,Jensen Dr @ Lyons Ave,JENSEN DR & LYONS AVE,29.774019,-95.341863,,,,,,0
3733,3733,Jensen Dr @ Hill St,JENSEN DR & HILL ST,29.772056,-95.342951,,,,,,0
3734,3734,Jensen Dr @ Providence St,JENSEN DR & PROVIDENCE ST,29.770643,-95.343522,,,,,,0
3735,3735,Jensen Dr @ Lyons Ave,JENSEN DR & LYONS AVE,29.773704,-95.341722,,,,,,0
3736,3736,Jensen Dr @ Burnett St,JENSEN DR & BURNETT ST,29.774909,-95.341709,,,,,,0
3737,3737,Jensen Dr @ Mills St,JENSEN DR & MILLS ST,29.777499,-95.341766,,,,,,0
3738,3738,Jensen Dr @ Lorraine St,JENSEN DR & LORRAINE ST,29.778485,-95.341789,,,,,,0
3739,3739,Jensen Dr @ Sumpter,JENSEN DR & SUMPTER,29.779768,-95.341804,,,,,,0
3740,3740,Jensen Dr @ Lee St,JENSEN DR & LEE ST,29.781802,-95.341827,,,,,,0
3741,3741,Jensen Dr @ Quitman St,JENSEN DR & QUITMAN ST,29.783321,-95.341845,,,,,,0
3742,3742,Jensen Dr @ Newhoff St,JENSEN DR & NEWHOFF ST,29.78539,-95.341875,,,,,,0
3743,3743,Jensen Dr @ Florida,JENSEN DR & FLORIDA,29.787375,-95.341911,,,,,,0
3744,3744,Jensen Dr @ Jewel St,JENSEN DR & JEWEL ST,29.789773,-95.341937,,,,,,0
3745,3745,Jensen Dr @ Evella,JENSEN DR & EVELLA,29.791215,-95.341964,,,,,,0
3746,3746,Jensen Dr @ Collingsworth St,JENSEN DR & COLLINGSWORTH ST,29.793334,-95.342009,,,,,,0
3747,3747,Jensen Dr @ Crane St,JENSEN DR & CRANE ST,29.79646,-95.342083,,,,,,0
3748,3748,Jensen Dr @ Bay St,JENSEN DR & BAY ST,29.800505,-95.342134,,,,,,0
3749,3749,Jensen Dr @ Cavalcade St,JENSEN DR & CAVALCADE ST,29.80175,-95.34209,,,,,,0
3750,3750,Jensen Dr @ Le Badie,JENSEN DR & LE BADIE,29.80472,-95.342158,,,,,,0
3751,3751,Jensen Dr @ Ivy St,JENSEN DR & IVY ST,29.807252,-95.342221,,,,,,0
3752,3752,Jensen Dr @ Milwaukee St,JENSEN DR & MILWAUKEE ST,29.809117,-95.342247,,,,,,0
3755,3755,Eastex Freeway @ Collingsworth St,EASTEX FREEWAY & COLLINGSWORTH ST,29.793469,-95.340343,,,,,,0
3756,3756,Eastex Freeway   @ Evella,EASTEX FREEWAY & EVELLA,29.791493,-95.34033,,,,,,0
3757,3757,Eastex Freeway   @ Jewel St,EASTEX FREEWAY & JEWEL ST,29.789633,-95.34048,,,,,,0
3758,3758,Eastex Freeway   @ Florida,EASTEX FREEWAY & FLORIDA,29.787527,-95.340478,,,,,,0
